Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.90132291,4.696817825,4.958901404,4.852287048,7.781090896,12.05361798,11.07437896,12.20183019,8.886660184,,
Africa Western and Central,AFW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.173050564,2.014968215,4.350118845,7.97676918,10.19053207,10.61123397,11.28508581,25.83606103,23.24050574,,
Albania,ALB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96297974,18.76933916,22.4938973,23.49277786,22.80273406,18.16857405,18.26995219,13.23253338,11.084582,8.368958007,8.113899884
Andorra,AND,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.178127834,5.266988962,6.086295813,7.129651752,6.655645965,5.636720012,5.02708123,5.071833428,5.295286504,5.610436526,6.457487958,8.154957712
Argentina,ARG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.606646772,4.456543481,3.241857854,3.108384744,3.466828307,2.117022874,1.395598406,1.734548721,1.732582431,1.990064383,1.736841818,1.836605544,1.830363712,3.108572249,5.748493054,3.860952775
Armenia,ARM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.972089483,2.447555686,2.404015724,4.2841892,4.863619002,3.041411299,3.421091513,3.669222171,4.485338923,6.969750428,7.949716684,6.724111251,5.432317779,4.754398251,5.506665829,6.554815729
American Samoa,ASM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.542535833,8.655527037,7.938070514,6.350929,5.33456,6.25661
Australia,AUS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564453033,0.57401314,0.559225605,1.355262088,2.018064585,2.14856126,1.968386346,1.701891508,1.365174882,1.013844499,0.888725499,0.947676353,0.85701375,0.901855194,0.961493162,1.107782713
Austria,AUT,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.739429392,2.242467316,1.903069428,2.250422587,2.830717152,2.706815505,2.813364766,2.866541695,3.473374315,3.392837284,2.695217415,2.368895442,1.882428564,1.62862136,
Azerbaijan,AZE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.315235749,7.393107104,8.168285441,9.886951955,10.82291505,17.91669651,21.0565186,14.19008522,,,
Belgium,BEL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.280164157,1.157063807,1.652164219,3.075436663,2.79861059,3.302301757,3.738254507,4.244977405,4.175692118,3.789351429,3.432033252,2.924793545,2.268265705,2.087069156,2.06995809
Benin,BEN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.849001532,9.728075628,8.641851749,9.365169371,8.397904346,8.858525624,8.895660059,9.887329666,8.902133352,7.737548734
Bulgaria,BGR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.403906529,6.422933859,11.91770876,14.97361396,16.62632093,16.87852083,16.74652942,14.61205086,13.17306553,10.43445342,7.801561773,6.621299437,5.798352022
Bahrain,BHR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21596483,17.90710073,11.01721963,8.385825726,6.073544273,5.276053668,3.998761503,3.018591918,3.091207942,5.871207252,11.42178218,11.79971408,13.46568823,15.11984787,14.16531238,13.70841587,11.77771908,10.04627515,8.77033548,7.411657058,6.122402156
Belarus,BLR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.548804271,4.159595812,5.501874006,4.447331358,4.371304034,6.834947964,12.79117428,12.85219447,5.010286238,4.627878139,4.82924274
Belize,BLZ,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.140980161,1.644995554,1.453599772,1.484732245,1.502379505,1.499928612,1.576957601,1.702430779,1.731677762,1.866003686,1.514630126
Brazil,BRA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.525531791,3.460664045,2.982603913,3.106392568,4.214994697,3.107724172,3.466864091,3.446823393,2.857282293,2.854799955,3.31178796,3.916639098,3.58571901,3.053058314,3.110636096,2.242700111
Barbados,BRB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36467132,6.867029759,6.032013976,5.376157619,4.525302009,3.850594241,3.998351804,4.748898811,3.661009192,4.669850726,3.899498747,3.872776963
Bhutan,BTN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.830490276,5.20416391,3.918596732,5.436822667,6.952498279,6.75215843,6.594168414,7.186745768,8.417308419,7.02804491,8.446604027,
Botswana,BWA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.620608093,3.613430059,3.549454903,3.734355242,4.852641333,5.276903014,5.426319239,4.787974207,4.323439372
Central African Republic,CAF,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63801359,11.9962583,9.58298324,28.50158721,27.66216747,30.86475245,25.61074992,22.9381611,15.59115392,12.58274357,
Canada,CAN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499517649,0.420325955,0.431596614,0.763250457,1.266870558,1.192457242,0.844688791,0.651152891,0.574918196,0.517878595,0.516596294,0.596050945,0.44946104,0.505214192,0.503405461,0.533314765
Central Europe and the Baltics,CEB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.292033032,0.957138568,0.774380388,0.945475351,1.120762389,0.921783628,0.842058154,0.794555821,0.776052312,0.724263678,0.749519975,0.741723819,0.639265877,0.661973848,0.645492573,0.748812316
Channel Islands,CHI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.619158778,1.822996838,1.634837878,1.202497505,0.905289363,0.748131241,0.750701585,0.976461981,2.925637569,2.693280314,2.34645556,2.157151824,2.10543292,2.059665284,1.874663267,1.832636162,1.916362509,1.872014621,2.055049193,1.552989248
China,CHN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.132370451,0.961585529,0.95367433,0.999702805,1.248733356,1.673880164,1.744479345,1.744354606,1.832948832,1.861754853,1.839619692
Cote d'Ivoire,CIV,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10134847,11.44671108,11.55280071,10.29533141,9.70168699,9.315176962,10.65187215,10.83590406,12.39271898,12.81048264,
"Congo, Dem. Rep.",COD,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964372339,1.078087025,1.519315059,1.224875492,2.506063396,3.572579699,4.84773547,13.2901315,18.19747057,23.07392863,
Colombia,COL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74843383,2.659818483,3.229293275,3.932178286,4.012838351,2.863376564,2.495543848,2.758441266,2.771992666,2.915260841,2.847672788,3.124536536,4.179781455,4.400375474,4.174405473,4.80223084
Comoros,COM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65958378,17.62427566,19.78331354,18.86195978,20.29872135,20.54764962,21.67501073,24.79948768,24.34612267,22.51173131,23.65814465
Cabo Verde,CPV,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535661424,2.05989759,1.855204646,1.816876565,1.745156217,1.74861175,1.552950601,1.664178415,1.553238134,2.053281605,2.117731167,2.395296056,2.429921513
Caribbean small states,CSS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59414948,4.509363029,5.821722599,9.9862342,18.37494562,38.5570399,44.97207276,47.74784577,36.69911774,31.38889468,19.52051022,17.09310365,15.01908354
Czech Republic,CZE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.366447254,2.80546423,4.577953083,5.386066668,5.21725204,5.239479047,5.19728134,5.607417814,5.484051894,4.594897951,3.741720363,3.140117288,2.702824334,2.956978177
Germany,DEU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,3.41,2.65,2.85,3.31,3.2,3.03,2.86,2.7,2.34,1.97,1.71,1.5,1.24,1.05,
Djibouti,DJI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.53436645,15.33685296,18.72966839,19.95488696,22.47330586,16.52131705,18.06011336,16.03658403,13.2506633
Dominica,DMA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12061835,14.45085923,17.43379656,17.016617,12.236643,15.011725
Denmark,DNK,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.068636311,3.660342887,5.950517803,4.618143705,4.400790738,3.686235936,3.210123343,2.294291547,1.710304865,1.715103231,1.816001736
Dominican Republic,DOM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.669708371,4.274085323,3.129194202,2.870638023,3.454860114,2.251796832,1.536489931,1.725949889,1.73698833,1.90658627,1.61766972,,
Algeria,DZA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14155081,18.31,14.39830596,11.72638145,10.56397122,9.934960475,9.767345351,12.08915906,12.95850229,12.69740126,,
East Asia & Pacific (excluding high income),EAP,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86992632,9.502791141,7.192883302,5.434726951,3.982310746,3.696521795,3.43917859,4.105402662,3.354596288,3.197726975,3.756021348,3.557146773,3.583712267,4.404064182,3.964329688,3.30948194,2.949234019,3.15128363,
"Egypt, Arab Rep.",EGY,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79436611,0.701194506,0.896581395,2.807693691,4.121031336,4.668372132,6.007281034,7.48390356,9.380729632,8.452782349,6.162376611,5.635257621,4.461202066,3.68642502,3.152827246,2.851226662
Estonia,EST,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.944684776,5.202311417,5.375486401,4.045307443,2.622666595,1.474622315,1.388236099,0.981873691,0.869768013,0.698391486,0.453036142,0.36087432,0.346892561
Ethiopia,ETH,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.412864319,3.56052322,2.671735821,3.429771877
European Union,EUU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.297026155,1.341824344,1.516812727,1.671621328,1.425572846,1.390401553,
Fiji,FJI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.830281793,8.000837422,6.586285497,4.656563682,4.226175449,3.685063943,2.45452535,5.682117344,3.130116789,3.741005492,4.372729287,3.859337358,4.185207472,2.687859707,2.156503473,1.448191369,2.236873118,2.424460657,3.089256749,3.838351272,
France,FRA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.819420253,4.021931127,3.758573893,4.291449589,4.294523274,4.49543408,4.162499284,4.045254299,3.702759075,3.123595653,2.748341623,2.473143665,2.705338997
Faroe Islands,FRO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92935498,2.63222713,2.044017138,,,,,
Gabon,GAB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.159006906,2.778456701,2.549806194,2.742400869,4.067032102,5.259199348,10.65187215,10.83590406,12.39271898,12.81048264,
United Kingdom,GBR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55697369,3.508657018,3.954833788,3.961868206,3.586284008,3.111741739,1.654392455,1.014508466,0.940161284,0.73465975,1.072627545,1.079503996,1.215664822
Georgia,GEO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.343194656,1.971567664,1.194325981,0.805882164,0.838418571,4.058081305,6.255441029,5.919682705,4.526001601,3.680255502,3.031716066,3.02706443,2.711451144,3.446975017,2.77879997,2.678868344,1.928409565,2.267438336
Ghana,GHA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.677725668,16.20000001,18.0818565,14.14598929,13.19667147,11.99893516,11.26917303,14.67361734,17.29440057,21.59124922,18.18715299,13.94191126,
